match_id;round_code;round_name;match_date;kickoff_time;home_team;away_team;stadium;stadium_where;stadium_city;stadium_country;stadium_capacity;stadium_opened;fotmob_match_url
4667787;3;Giornata 3;2026-06-26;01:00;Tunisia;Paesi Bassi;Kansas City Stadium;Kansas City, Missouri, USA;Kansas City;USA;73000;1972;https://www.fotmob.com/it/matches/netherlands-vs-tunisia/1hoci5#4667787
4667776;3;Giornata 3;2026-06-26;04:00;Paraguay;Australia;San Francisco Bay Area Stadium;Santa Clara, California, USA;San Francisco Bay Area;USA;71000;2014;https://www.fotmob.com/it/matches/australia-vs-paraguay/1hs39g#4667776
4667775;3;Giornata 3;2026-06-26;04:00;Turchia;Stati Uniti;Los Angeles Stadium;Inglewood, California, USA;Los Angeles;USA;70000;2020;https://www.fotmob.com/it/matches/turkiye-vs-usa/1gq91b#4667775
4667808;3;Giornata 3;2026-06-26;21:00;Norvegia;Francia;Boston Stadium;Foxborough, Massachusetts, USA;Boston;USA;65000;2002;https://www.fotmob.com/it/matches/france-vs-norway/1wx88k#4667808
4667809;3;Giornata 3;2026-06-26;21:00;Senegal;Iraq;Toronto Stadium;Toronto, Ontario, Canada;Toronto;Canada;45000;2007;https://www.fotmob.com/it/matches/iraq-vs-senegal/18f0co#4667809
4667803;3;Giornata 3;2026-06-27;02:00;Capo Verde;Arabia Saudita;Houston Stadium;Houston, Texas, USA;Houston;USA;72000;2002;https://www.fotmob.com/it/matches/cape-verde-vs-saudi-arabia/1jqqyp#4667803
4667802;3;Giornata 3;2026-06-27;02:00;Uruguay;Spagna;Estadio Guadalajara;Zapopan, Jalisco, Messico;Guadalajara;Messico;48000;2010;https://www.fotmob.com/it/matches/uruguay-vs-spain/1an22i#4667802
4667795;3;Giornata 3;2026-06-27;05:00;Egitto;Iran;Seattle Stadium;Seattle, Washington, USA;Seattle;USA;69000;2002;https://www.fotmob.com/it/matches/iran-vs-egypt/2dp33g#4667795
4667794;3;Giornata 3;2026-06-27;05:00;Nuova Zelanda;Belgio;BC Place Vancouver;Vancouver, British Columbia, Canada;Vancouver;Canada;54000;1983;https://www.fotmob.com/it/matches/new-zealand-vs-belgium/1n1sct#4667794
4667830;3;Giornata 3;2026-06-27;23:00;Croazia;Ghana;Philadelphia Stadium;Philadelphia, Pennsylvania, USA;Philadelphia;USA;69000;2003;https://www.fotmob.com/it/matches/ghana-vs-croatia/2cpwux#4667830
4667829;3;Giornata 3;2026-06-27;23:00;Panamá;Inghilterra;New York New Jersey Stadium;East Rutherford, New Jersey, USA;New York / New Jersey;USA;82500;2010;https://www.fotmob.com/it/matches/panama-vs-england/1pukme#4667829
