team;transfermarkt_id;shirt_number;player_name;position;birth_date;age;club;height_cm;foot;international_caps;international_goals;debut_date;market_value;transfermarkt_url
Senegal;876631;21;Habib Diarra;Centrocampista;03/01/2004;22;AFC Sunderland;1,78m;destro;20;4;22/03/2024;35,00 mln €;https://www.transfermarkt.com/habib-diarra/profil/spieler/876631
Senegal;1497653;22;Bara Sapoko Ndiaye;Centrocampista;31/12/2007;18;FC Bayern Monaco;1,80m;destro;1;-;31/05/2026;4,00 mln €;https://www.transfermarkt.com/bara-sapoko-ndiaye/profil/spieler/1497653
Senegal;164904;23;Mory Diaw;Portiere;22/06/1993;32;Le Havre AC;1,97m;destro;5;-;20/06/2023;900 mila €;https://www.transfermarkt.com/mory-diaw/profil/spieler/164904
Senegal;891998;24;Antoine Mendy;Difensore centrale;27/05/2004;22;OGC Nizza;1,87m;destro;6;-;22/03/2025;10,00 mln €;https://www.transfermarkt.com/antoine-mendy/profil/spieler/891998
Senegal;1111589;25;El Hadji Malick Diouf;Terzino sinistro;28/12/2004;21;West Ham United;1,77m;sinistro;19;1;09/09/2024;28,00 mln €;https://www.transfermarkt.com/el-hadji-malick-diouf/profil/spieler/1111589
Senegal;485963;26;Pape Gueye;Centrocampista;24/01/1999;27;Villarreal CF;1,89m;sinistro;41;5;14/11/2021;40,00 mln €;https://www.transfermarkt.com/pape-gueye/profil/spieler/485963
Spagna;262749;1;David Raya;Portiere;15/09/1995;30;FC Arsenal;1,86m;destro;12;-;26/03/2022;30,00 mln €;https://www.transfermarkt.com/david-raya/profil/spieler/262749
Spagna;844637;2;Marc Pubill;Difensore centrale;20/06/2003;22;Atlético de Madrid;1,91m;destro;1;-;04/06/2026;35,00 mln €;https://www.transfermarkt.com/marc-pubill/profil/spieler/844637
Spagna;193082;3;Alejandro Grimaldo;Terzino sinistro;20/09/1995;30;Bayer 04 Leverkusen;1,71m;sinistro;13;-;16/11/2023;20,00 mln €;https://www.transfermarkt.com/alejandro-grimaldo/profil/spieler/193082
Spagna;466794;4;Eric García;Difensore centrale;09/01/2001;25;FC Barcellona;1,83m;destro;20;-;06/09/2020;40,00 mln €;https://www.transfermarkt.com/eric-garcia/profil/spieler/466794
Spagna;282411;5;Marcos Llorente;Terzino destro;30/01/1995;31;Atlético de Madrid;1,83m;destro;23;-;11/11/2020;20,00 mln €;https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411
Spagna;338424;6;Mikel Merino;Centrocampista;22/06/1996;29;FC Arsenal;1,88m;sinistro;42;10;03/09/2020;25,00 mln €;https://www.transfermarkt.com/mikel-merino/profil/spieler/338424
Spagna;398184;7;Ferran Torres;Punta centrale;29/02/2000;26;FC Barcellona;1,83m;destro;56;24;03/09/2020;50,00 mln €;https://www.transfermarkt.com/ferran-torres/profil/spieler/398184
Spagna;350219;8;Fabián Ruiz;Centrocampista;03/04/1996;30;FC Paris Saint-Germain;1,88m;sinistro;41;6;07/06/2019;30,00 mln €;https://www.transfermarkt.com/fabian-ruiz/profil/spieler/350219
Spagna;646740;9;Gavi;Centrocampista;05/08/2004;21;FC Barcellona;1,73m;destro;29;5;06/10/2021;30,00 mln €;https://www.transfermarkt.com/gavi/profil/spieler/646740
Spagna;293385;10;Dani Olmo;Trequartista;07/05/1998;28;FC Barcellona;1,79m;destro;49;12;15/11/2019;60,00 mln €;https://www.transfermarkt.com/dani-olmo/profil/spieler/293385
Spagna;568157;11;Yéremy Pino;Ala destra;20/10/2002;23;Crystal Palace;1,74m;destro;22;4;06/10/2021;30,00 mln €;https://www.transfermarkt.com/yeremy-pino/profil/spieler/568157
