formation_id;team_name;round;registered_at;players_count;line_order;line_text
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;21;PORTIERI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;22;P2. Ørjan Håskjold Nyland - Norvegia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;23;P3. Emiliano Martínez - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;24;DIFENSORI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;25;D4. Virgil van Dijk - Paesi Bassi
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;26;D5. Nahuel Molina - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;27;D6. Nicolás Tagliafico - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;28;D7. Marquinhos - Brasile
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;29;D8. Douglas Santos - Brasile
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;30;CENTROCAMPISTI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;31;C5. Martin Ødegaard - Norvegia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;32;C6. Alexis Mac Allister - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;33;C7. Enzo Fernández - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;34;C8. Rodrigo De Paul - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;35;ATTACCANTI
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;36;A4. Julián Álvarez - Argentina
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;37;A5. Michael Olise - Francia
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;38;A6. Harry Kane - Inghilterra
mq3m13gx;Setumanizzato;Prima giornata;2026-06-07T09:59:12.081Z;0;39;A7. Matheus Cunha - Brasile
